date,channel,spend
2019-08-04,Facebook,0.17
2019-08-02,Facebook,4.82
2019-08-04,Facebook,3.34
2019-08-03,Facebook,3.61
2019-08-02,Facebook,0.32
2019-08-04,Facebook,0.62
2019-08-03,Facebook,0.42
2019-08-04,Facebook,6.43
2019-08-03,Facebook,7.13
2019-08-02,Facebook,8.58
2019-08-02,Facebook,3.31
2019-08-04,Facebook,6.95
2019-08-03,Facebook,5.52
2019-08-03,Facebook,0.28
2019-08-02,Facebook,0.74
2019-08-04,Facebook,1.28
2019-08-04,Facebook,1.43
2019-08-02,Facebook,1.51
2019-08-03,Facebook,2.88
2019-08-04,Facebook,2.75
2019-08-02,Facebook,4.88
2019-08-03,Facebook,3.26
2019-08-02,Facebook,8.59
2019-08-03,Facebook,7
2019-08-04,Facebook,4.03
2019-08-04,Facebook,10.38
2019-08-03,Facebook,6.58
2019-08-02,Facebook,3.23
2019-08-02,Facebook,0.62
2019-08-04,Facebook,0.76
2019-08-03,Facebook,0.24
2019-08-03,Facebook,0.38
2019-08-04,Facebook,1.21
2019-08-02,Facebook,0.66
2019-08-02,Facebook,1.8
2019-08-03,Facebook,2.15
2019-08-04,Facebook,0.7
2019-08-04,Facebook,28.56
2019-08-02,Facebook,27.9
2019-08-03,Facebook,25.94
2019-08-03,Facebook,2.15
2019-08-04,Facebook,1.86
2019-08-02,Facebook,0.95
2019-08-02,Facebook,0.31
2019-08-02,Facebook,32.7
2019-08-03,Facebook,35.75
2019-08-04,Facebook,35.29
2019-08-04,Facebook,0.07
2019-08-03,Facebook,0.61
2019-08-02,Facebook,2.52
2019-08-04,Facebook,5.41
2019-08-02,Facebook,1.74
2019-08-03,Facebook,2.54
2019-08-04,Facebook,1.53
2019-08-02,Facebook,2.02
2019-08-03,Facebook,1.75
2019-08-02,Facebook,0.62
2019-08-03,Facebook,0.82
2019-08-04,Facebook,0.73
2019-08-04,Facebook,8.53
2019-08-02,Facebook,3.91
2019-08-03,Facebook,5.11
2019-08-02,Facebook,13.29
2019-08-03,Facebook,12.61
2019-08-04,Facebook,9.47
2019-08-03,Instagram,10.62
2019-08-02,Instagram,7.3
2019-08-04,Instagram,8.59
2019-08-04,Instagram,18.21
2019-08-02,Instagram,19.36
2019-08-03,Instagram,17.1
2019-08-04,Instagram,3.26
2019-08-03,Instagram,3.72
2019-08-02,Instagram,3.02
2019-08-04,Instagram,1.16
2019-08-02,Instagram,1.02
2019-08-03,Instagram,0.82
2019-08-03,Instagram,5.51
2019-08-02,Instagram,5.22
2019-08-04,Instagram,4.64
2019-08-02,Instagram,0.2
2019-08-04,Instagram,1.21
2019-08-03,Instagram,1.05
2019-08-03,Instagram,0.31
2019-08-02,Instagram,2.11
2019-08-04,Instagram,1.4
2019-08-04,Instagram,4.89
2019-08-03,Instagram,5.95
2019-08-02,Instagram,7.48
2019-08-04,Instagram,14.55
2019-08-03,Instagram,16.87
2019-08-02,Instagram,14.29
2019-08-02,Instagram,0.15
2019-08-03,Instagram,0.08
2019-08-04,Instagram,2.26
2019-08-04,Instagram,11.03
2019-08-03,Instagram,17.82
2019-08-02,Instagram,14
2019-08-02,Instagram,2.23
2019-08-04,Instagram,2.56
2019-08-03,Instagram,0.57
2019-08-04,Instagram,1.76
2019-08-03,Instagram,1.5
2019-08-02,Instagram,4.32
2019-08-04,Instagram,1.13
2019-08-02,Instagram,0.6
2019-08-03,Instagram,0.69
2019-08-04,Instagram,2.21
2019-08-03,Instagram,3.48
2019-08-02,Instagram,2.72
2019-08-04,Instagram,4
2019-08-02,Instagram,8.02
2019-08-03,Instagram,4.47
2019-08-03,Instagram,1.11
2019-08-04,Instagram,7.36
2019-08-02,Instagram,0.99
2019-08-03,Instagram,22.57
2019-08-02,Instagram,19.58
2019-08-04,Instagram,26.6
2019-08-03,Instagram,0.93
2019-08-02,Instagram,0.83
2019-08-04,Instagram,0.53
2019-08-03,Instagram,19.43
2019-08-04,Instagram,14
2019-08-02,Instagram,17.92
2019-08-03,Instagram,5.39
2019-08-04,Instagram,8.59
2019-08-02,Instagram,7.73
2019-08-04,Instagram,0.52
2019-08-03,Instagram,0.51
2019-08-02,Instagram,0.44
2019-08-04,Instagram,0
2019-08-03,Instagram,0.12
2019-08-02,Instagram,0.04
2019-08-04,Instagram,60.18
2019-08-02,Instagram,55.4
2019-08-03,Instagram,55.6
2019-08-02,Instagram,0.02
2019-08-03,Instagram,0.03
2019-08-04,Instagram,100.21
2019-08-02,Instagram,93.92
2019-08-03,Instagram,97.16
2019-08-02,Instagram,0.05
2019-08-03,Instagram,0.08
2019-08-04,Instagram,0
2019-08-04,Instagram,150.22
2019-08-02,Instagram,140.72
2019-08-03,Instagram,145.78
2019-08-02,Instagram,0.01
2019-08-03,Instagram,0.33
2019-08-04,Instagram,0.04
2019-08-02,Instagram,56.69
2019-08-04,Instagram,60.19
2019-08-03,Instagram,55.63
2019-08-02,Instagram,141.11
2019-08-04,Instagram,150.26
2019-08-03,Instagram,145.46
2019-08-04,Instagram,0.01
2019-08-03,Instagram,0.08
2019-08-02,Media,34.08
2019-08-03,Media,29.74
2019-08-04,Facebook,1.87
2019-08-03,Facebook,0.61
2019-08-02,Facebook,0.93
2019-08-04,Facebook,1.73
2019-08-02,Facebook,2.04
2019-08-03,Facebook,2.46
2019-08-03,Facebook,0.72
2019-08-02,Facebook,1.33
2019-08-04,Facebook,1.92
2019-08-04,Facebook,13.44
2019-08-03,Facebook,13.66
2019-08-02,Facebook,14.59
2019-08-03,Facebook,11.76
2019-08-02,Facebook,9.39
2019-08-04,Facebook,10.76
2019-08-03,Facebook,19.76
2019-08-02,Facebook,21.91
2019-08-04,Facebook,24.85
2019-08-02,Facebook,8.32
2019-08-03,Facebook,5.94
2019-08-04,Facebook,2.95
2019-08-03,Facebook,0
2019-08-02,Facebook,0
2019-08-03,Facebook,3.38
2019-08-02,Facebook,1.96
2019-08-04,Facebook,2.1
2019-08-02,Instagram,6.89
2019-08-03,Instagram,5.27
2019-08-04,Instagram,7.45
2019-08-03,Instagram,14.69
2019-08-04,Instagram,10.8
2019-08-02,Instagram,13.61
2019-08-02,Instagram,1.57
2019-08-04,Instagram,0.87
2019-08-03,Instagram,0.62
2019-08-03,Instagram,8.82
2019-08-04,Instagram,10.86
2019-08-02,Instagram,5.82
2019-08-04,Facebook,0.03
2019-08-03,Facebook,14.81
2019-08-02,Facebook,10.98
2019-08-04,Facebook,12.05
2019-08-03,Facebook,0.59
2019-08-02,Facebook,0.45
2019-08-04,Facebook,0.52
2019-08-02,Facebook,0.35
2019-08-03,Facebook,0.62
2019-08-04,Facebook,0.61
2019-08-02,Facebook,0.88
2019-08-03,Facebook,1.05
2019-08-04,Facebook,0.5
2019-08-03,Facebook,10.08
2019-08-04,Facebook,16.34
2019-08-02,Facebook,13.81
2019-08-02,Facebook,0.18
2019-08-04,Facebook,0.23
2019-08-03,Facebook,0.59
2019-08-04,Instagram,15.49
2019-08-02,Instagram,9.67
2019-08-03,Instagram,12.65
2019-08-02,Instagram,6.2
2019-08-03,Instagram,5.83
2019-08-04,Instagram,5.56
2019-08-04,Instagram,9.1
2019-08-02,Instagram,11.92
2019-08-03,Instagram,9.35
2019-08-03,Instagram,1.73
2019-08-04,Instagram,1.52
2019-08-02,Instagram,1.06
2019-08-02,Instagram,1.36
2019-08-03,Instagram,0.33
2019-08-04,Instagram,1.09
2019-08-03,Instagram,3.74
2019-08-04,Instagram,3.25
2019-08-02,Instagram,2.85
2019-08-04,Instagram,11.39
2019-08-03,Instagram,11.75
2019-08-02,Instagram,12.3
2019-08-03,Instagram,2.66
2019-08-04,Instagram,2.87
2019-08-02,Instagram,2.17
2019-08-02,Instagram,0.58
2019-08-03,Instagram,1.62
2019-08-04,Instagram,2.3
2019-08-04,Instagram,0.14
2019-08-02,Instagram,0.12
2019-08-03,Instagram,0.05
2019-08-03,Instagram,18.42
2019-08-02,Instagram,14.2
2019-08-04,Instagram,17.64
2019-08-02,Instagram,2.31
2019-08-03,Instagram,1.21
2019-08-04,Instagram,1.5
2019-08-03,Instagram,5.32
2019-08-02,Instagram,4.15
2019-08-04,Instagram,7.01
2019-08-04,Instagram,11.48
2019-08-03,Instagram,14.09
2019-08-02,Instagram,13.21
2019-08-03,Instagram,1.09
2019-08-02,Instagram,1.4
2019-08-04,Instagram,1.21
2019-08-02,Instagram,12.82
2019-08-03,Instagram,12.52
2019-08-04,Instagram,10.89
2019-08-04,Instagram,3.12
2019-08-03,Instagram,3.02
2019-08-02,Instagram,2.17
2019-08-04,Instagram,4.83
2019-08-03,Instagram,3.71
2019-08-02,Instagram,3.35
2019-08-04,Instagram,12.74
2019-08-03,Instagram,12.18
2019-08-04,Instagram,1.58
2019-08-02,Instagram,1.238932
2019-08-02,Instagram,10.361068
2019-08-03,Instagram,1.88
2019-08-02,Instagram,0
2019-08-02,Instagram,0.21
2019-08-04,Instagram,0.24
2019-08-03,Instagram,0.19
2019-08-04,Instagram,0.05
2019-08-03,Instagram,0.06
2019-08-02,Instagram,3.31
2019-08-03,Instagram,12.18
2019-08-04,Instagram,2.54
2019-08-04,Instagram,12.94
2019-08-02,Instagram,11.6
2019-08-03,Instagram,3.1
2019-08-04,Instagram,4.89
2019-08-03,Instagram,20.92
2019-08-03,Instagram,5.71
2019-08-02,Instagram,20.83
2019-08-04,Instagram,23.26
2019-08-02,Instagram,4.14
2019-08-02,Instagram,0.6
2019-08-04,Instagram,0.45
2019-08-02,Instagram,0.79
2019-08-04,Instagram,1.48
2019-08-03,Instagram,1.14
2019-08-03,Instagram,1.76
2019-08-04,Facebook,7.89
2019-08-02,Facebook,11.13
2019-08-03,Facebook,8.76
2019-08-02,Facebook,0.01
2019-08-02,Facebook,1.48
2019-08-03,Facebook,0.27
2019-08-04,Facebook,0.95
2019-08-03,Facebook,4.78
2019-08-04,Facebook,2.84
2019-08-02,Facebook,2.37
2019-08-03,Facebook,0
2019-08-03,Facebook,5.71
2019-08-04,Facebook,8.24
2019-08-02,Facebook,4.58
2019-08-04,Facebook,0
2019-08-03,Instagram,0.86
2019-08-04,Instagram,0.5
2019-08-02,Instagram,0.68
2019-08-04,Instagram,13.94
2019-08-03,Instagram,12.54
2019-08-04,Instagram,0.02
2019-08-02,Instagram,13.44
2019-08-03,Instagram,6.79
2019-08-02,Instagram,5.86
2019-08-04,Instagram,5.54
2019-08-03,Media,24.41
2019-08-02,Media,30.59
2019-08-05,Media,4.99
2019-08-05,Media,28.01
2019-08-05,Media,26.73
2019-08-05,Facebook,10.95
2019-08-05,Facebook,1.05
2019-08-05,Facebook,7.34
2019-08-05,Facebook,0.92
2019-08-05,Facebook,4.52
2019-08-05,Facebook,0.06
2019-08-05,Facebook,2.15
2019-08-05,Facebook,0.04
2019-08-05,Facebook,13.09
2019-08-05,Facebook,0.22
2019-08-05,Facebook,3.56
2019-08-05,Facebook,0.94
2019-08-05,Facebook,9.53
2019-08-05,Facebook,4.29
2019-08-05,Facebook,0.81
2019-08-05,Facebook,0.08
2019-08-05,Facebook,2.04
2019-08-05,Facebook,9.56
2019-08-05,Facebook,6.66
2019-08-05,Facebook,0.58
2019-08-05,Facebook,0.51
2019-08-05,Facebook,0.13
2019-08-05,Facebook,21.06
2019-08-05,Facebook,1.03
2019-08-05,Facebook,0.01
2019-08-05,Facebook,31.45
2019-08-05,Facebook,0.07
2019-08-05,Facebook,2.21
2019-08-05,Facebook,0.25
2019-08-05,Facebook,0.12
2019-08-05,Facebook,1.54
2019-08-05,Facebook,18.05
2019-08-05,Instagram,7.59
2019-08-05,Instagram,13.54
2019-08-05,Instagram,1.01
2019-08-05,Instagram,0.55
2019-08-05,Instagram,2.96
2019-08-05,Instagram,0.36
2019-08-05,Instagram,10.89
2019-08-05,Instagram,3.2
2019-08-05,Instagram,11.47
2019-08-05,Instagram,0.55
2019-08-05,Instagram,6.68
2019-08-05,Instagram,0.85
2019-08-05,Instagram,11.16
2019-08-05,Instagram,0.21
2019-08-05,Instagram,0.44
2019-08-05,Instagram,3.61
2019-08-05,Instagram,0.81
2019-08-05,Instagram,27.19
2019-08-05,Instagram,0.21
2019-08-05,Instagram,10.28
2019-08-05,Instagram,12.37
2019-08-05,Instagram,0.04
2019-08-05,Instagram,0.02
2019-08-05,Instagram,60.25
2019-08-05,Instagram,100.22
2019-08-05,Instagram,0.04
2019-08-05,Instagram,162.69
2019-08-05,Instagram,60.06
2019-08-05,Instagram,163.43
2019-08-05,Instagram,0.06
2019-08-05,Media,0
2019-08-05,Facebook,0.66
2019-08-05,Facebook,0.29
2019-08-05,Facebook,1.62
2019-08-05,Facebook,10.51
2019-08-05,Facebook,17.2
2019-08-05,Facebook,20.53
2019-08-05,Facebook,8.77
2019-08-05,Facebook,0.78
2019-08-05,Instagram,3.91
2019-08-05,Instagram,16.53
2019-08-05,Instagram,0.68
2019-08-05,Instagram,8.98
2019-08-05,Facebook,17.65
2019-08-05,Facebook,0.07
2019-08-05,Facebook,0.32
2019-08-05,Facebook,0.08
2019-08-05,Facebook,11.79
2019-08-05,Facebook,0.01
2019-08-05,Instagram,12.9
2019-08-05,Instagram,10
2019-08-05,Instagram,7.08
2019-08-05,Instagram,0.6
2019-08-05,Instagram,10.26
2019-08-05,Instagram,0.32
2019-08-05,Instagram,7.71
2019-08-05,Instagram,1.12
2019-08-05,Instagram,3.26
2019-08-05,Instagram,0.35
2019-08-05,Instagram,32.31
2019-08-05,Instagram,0.16
2019-08-05,Instagram,3.46
2019-08-05,Instagram,16.49
2019-08-05,Instagram,0.09
2019-08-05,Instagram,15.07
2019-08-05,Instagram,3.32
2019-08-05,Instagram,1.93
2019-08-05,Instagram,2.05
2019-08-05,Instagram,12.92
2019-08-05,Instagram,0.02
2019-08-05,Instagram,1.43
2019-08-05,Instagram,6.65
2019-08-05,Instagram,6.7
2019-08-05,Instagram,22.68
2019-08-05,Instagram,0.23
2019-08-05,Instagram,0.39
2019-08-05,Facebook,0.01
2019-08-05,Facebook,11.52
2019-08-05,Facebook,1.94
2019-08-05,Facebook,0.44
2019-08-05,Facebook,5.77
2019-08-05,Instagram,0.58
2019-08-05,Instagram,12.02
2019-08-05,Instagram,7.51
2019-08-06,Media,62.47
2019-08-06,Media,32.17
2019-08-06,Media,30.84
2019-08-06,Facebook,10.13
2019-08-06,Facebook,1.33
2019-08-06,Facebook,6.95
2019-08-06,Facebook,1.58
2019-08-06,Facebook,3.76
2019-08-06,Facebook,0.21
2019-08-06,Facebook,0.99
2019-08-06,Facebook,0.14
2019-08-06,Facebook,14.18
2019-08-06,Facebook,0.69
2019-08-06,Facebook,4.43
2019-08-06,Facebook,0.93
2019-08-06,Facebook,9.04
2019-08-06,Facebook,4.62
2019-08-06,Facebook,0.72
2019-08-06,Facebook,0.35
2019-08-06,Facebook,4.85
2019-08-06,Facebook,6.12
2019-08-06,Facebook,6.95
2019-08-06,Facebook,0.94
2019-08-06,Facebook,0.92
2019-08-06,Facebook,0.22
2019-08-06,Facebook,18.94
2019-08-06,Facebook,0.84
2019-08-06,Facebook,26.1
2019-08-06,Facebook,0.22
2019-08-06,Facebook,3.01
2019-08-06,Facebook,0.03
2019-08-06,Facebook,1.28
2019-08-06,Facebook,18.89
2019-08-06,Instagram,6.27
2019-08-06,Instagram,12.51
2019-08-06,Instagram,0.92
2019-08-06,Instagram,0.22
2019-08-06,Instagram,12.05
2019-08-06,Instagram,0.33
2019-08-06,Instagram,6.75
2019-08-06,Instagram,4.5
2019-08-06,Instagram,5.75
2019-08-06,Instagram,0.32
2019-08-06,Instagram,6.57
2019-08-06,Instagram,1.37
2019-08-06,Instagram,5.27
2019-08-06,Instagram,0.73
2019-08-06,Instagram,0.31
2019-08-06,Instagram,4.79
2019-08-06,Instagram,0.45
2019-08-06,Instagram,32.15
2019-08-06,Instagram,0.03
2019-08-06,Instagram,4.78
2019-08-06,Instagram,12.59
2019-08-06,Instagram,0.05
2019-08-06,Instagram,0.01
2019-08-06,Instagram,60.02
2019-08-06,Instagram,0.01
2019-08-06,Instagram,100.13
2019-08-06,Instagram,0.03
2019-08-06,Instagram,156.55
2019-08-06,Instagram,60.07
2019-08-06,Instagram,157.03
2019-08-06,Instagram,0.06
2019-08-06,Media,17.23
2019-08-06,Facebook,1.19
2019-08-06,Facebook,1.39
2019-08-06,Facebook,1.4
2019-08-06,Facebook,13.62
2019-08-06,Facebook,12.43
2019-08-06,Facebook,22.18
2019-08-06,Facebook,6.11
2019-08-06,Facebook,1.76
2019-08-06,Instagram,8.21
2019-08-06,Instagram,18.21
2019-08-06,Instagram,0.87
2019-08-06,Instagram,2.65
2019-08-06,Facebook,14.39
2019-08-06,Facebook,0.17
2019-08-06,Facebook,0.29
2019-08-06,Facebook,0.25
2019-08-06,Facebook,14.97
2019-08-06,Facebook,0.09
2019-08-06,Instagram,4.8
2019-08-06,Instagram,12.25
2019-08-06,Instagram,13.03
2019-08-06,Instagram,0.7
2019-08-06,Instagram,9.96
2019-08-06,Instagram,0.5
2019-08-06,Instagram,6.66
2019-08-06,Instagram,1.86
2019-08-06,Instagram,2.6
2019-08-06,Instagram,0.72
2019-08-06,Instagram,42.57
2019-08-06,Instagram,1.52
2019-08-06,Instagram,18.4
2019-08-06,Instagram,17.02
2019-08-06,Instagram,1.71
2019-08-06,Instagram,1.31
2019-08-06,Instagram,2.71
2019-08-06,Instagram,13.59
2019-08-06,Instagram,0
2019-08-06,Instagram,2.62
2019-08-06,Instagram,0.64
2019-08-06,Instagram,22.85
2019-08-06,Instagram,6.16
2019-08-06,Instagram,0.12
2019-08-06,Instagram,0.17
2019-08-06,Facebook,12.05
2019-08-06,Facebook,0.65
2019-08-06,Facebook,1.54
2019-08-06,Facebook,5.99
2019-08-06,Instagram,0.65
2019-08-06,Instagram,0.02
2019-08-06,Instagram,10.31
2019-08-06,Instagram,9.05
2019-08-06,Media,31.05
2019-08-07,Media,72.85
2019-08-07,Media,29.61
2019-08-07,Media,31.18
2019-08-07,Facebook,3.11
2019-08-07,Facebook,0.26
2019-08-07,Facebook,0.78
2019-08-07,Facebook,0.78
2019-08-07,Facebook,0.61
2019-08-07,Facebook,4.25
2019-08-07,Facebook,6.22
2019-08-07,Facebook,0.71
2019-08-07,Facebook,1.37
2019-08-07,Facebook,0.06
2019-08-07,Facebook,0.47
2019-08-07,Facebook,0.13
2019-08-07,Facebook,1.86
2019-08-07,Facebook,0.05
2019-08-07,Facebook,7.03
2019-08-07,Facebook,0.83
2019-08-07,Facebook,1.92
2019-08-07,Facebook,1.74
2019-08-07,Facebook,1.15
2019-08-07,Facebook,4.52
2019-08-07,Facebook,4.97
2019-08-07,Facebook,0.72
2019-08-07,Facebook,0.85
2019-08-07,Facebook,2.35
2019-08-07,Facebook,0.71
2019-08-07,Facebook,0.18
2019-08-07,Facebook,1.58
2019-08-07,Facebook,0.81
2019-08-07,Facebook,0.35
2019-08-07,Facebook,0.03
2019-08-07,Facebook,0.48
2019-08-07,Facebook,1.86
2019-08-07,Facebook,4.56
2019-08-07,Facebook,0.22
2019-08-07,Facebook,4.02
2019-08-07,Facebook,0.28
2019-08-07,Facebook,0.95
2019-08-07,Facebook,1.1
2019-08-07,Facebook,0.31
2019-08-07,Facebook,0.37
2019-08-07,Facebook,0.23
2019-08-07,Facebook,1.88
2019-08-07,Facebook,2.83
2019-08-07,Facebook,9.46
2019-08-07,Facebook,3.41
2019-08-07,Facebook,0.01
2019-08-07,Facebook,0.05
2019-08-07,Facebook,26.05
2019-08-07,Facebook,0.11
2019-08-07,Facebook,3.06
2019-08-07,Facebook,0.01
2019-08-07,Facebook,0.1
2019-08-07,Facebook,3.1
2019-08-07,Instagram,5.42
2019-08-07,Instagram,13.14
2019-08-07,Instagram,0.79
2019-08-07,Instagram,0.94
2019-08-07,Instagram,11.21
2019-08-07,Instagram,0.6
2019-08-07,Instagram,8.100012
2019-08-07,Instagram,5.52
2019-08-07,Instagram,10.37
2019-08-07,Instagram,0.7
2019-08-07,Instagram,4.62
2019-08-07,Instagram,3.41
2019-08-07,Instagram,6.24
2019-08-07,Instagram,0.27
2019-08-07,Instagram,1.5
2019-08-07,Instagram,1.95
2019-08-07,Instagram,1.4
2019-08-07,Instagram,44.29
2019-08-07,Instagram,0.17
2019-08-07,Instagram,6.18
2019-08-07,Instagram,3.09
2019-08-07,Instagram,0.05
2019-08-07,Instagram,0.03
2019-08-07,Instagram,59.32
2019-08-07,Instagram,133.93
2019-08-07,Instagram,171.67
2019-08-07,Instagram,59.69
2019-08-07,Instagram,171.31
2019-08-07,Instagram,0.03
2019-08-07,Media,21.96
2019-08-07,Facebook,1.75
2019-08-07,Facebook,2.16
2019-08-07,Facebook,0.84
2019-08-07,Facebook,10.51
2019-08-07,Facebook,7.39
2019-08-07,Facebook,25.56
2019-08-07,Facebook,3.18
2019-08-07,Facebook,0.94
2019-08-07,Instagram,8.71
2019-08-07,Instagram,25.4
2019-08-07,Instagram,0.81
2019-08-07,Instagram,2.55
2019-08-07,Facebook,9.92
2019-08-07,Facebook,0.07
2019-08-07,Facebook,0.13
2019-08-07,Facebook,0.34
2019-08-07,Facebook,28.29
2019-08-07,Facebook,0.34
2019-08-07,Instagram,6.79
2019-08-07,Instagram,0
2019-08-07,Instagram,15.43
2019-08-07,Instagram,14.25
2019-08-07,Instagram,1.02
2019-08-07,Instagram,1.26
2019-08-07,Instagram,6.72
2019-08-07,Instagram,2.41
2019-08-07,Instagram,0.85
2019-08-07,Instagram,1.29
2019-08-07,Instagram,1.3
2019-08-07,Instagram,0.18
2019-08-07,Instagram,2.55
2019-08-07,Instagram,1.2
2019-08-07,Instagram,7.48
2019-08-07,Instagram,2.79
2019-08-07,Instagram,37.89
2019-08-07,Instagram,2.07
2019-08-07,Instagram,0.97
2019-08-07,Instagram,8.98
2019-08-07,Instagram,1.42
2019-08-07,Instagram,0.35
2019-08-07,Instagram,3.66
